Assists,Demos,Goals,MMR,MVP,MyTeamGoals,OtherTeamGoals,Playlist,Points,Ranked,Saves,Shots,Time,Timestamp,Win
1,0,2,871,1,3,2,Hoops,680,1,2,9,1636188374,09:46:14 11/06/21,1
0,0,0,880,0,1,4,Hoops,142,1,0,1,1636189019,09:56:59 11/06/21,0
3,0,3,872,0,7,6,Hoops,820,1,0,9,1636189708,10:08:28 11/06/21,1
0,0,2,881,1,3,0,Hoops,306,1,0,4,1636189941,10:12:21 11/06/21,1
0,0,0,881,0,1,4,Hoops,219,1,1,3,1636267290,07:41:30 11/07/21,0
0,0,1,700,0,2,0,Snow Day,268,1,1,2,1636267851,07:50:51 11/07/21,1
0,0,2,872,0,2,3,Hoops,392,1,0,5,1636268268,07:57:48 11/07/21,0
0,0,2,862,0,3,4,Hoops,497,1,1,5,1636268709,08:05:09 11/07/21,0
1,0,3,853,0,4,3,Hoops,505,1,0,4,1636269139,08:12:19 11/07/21,1
0,0,0,713,0,0,2,Snow Day,179,1,1,1,1636269528,08:18:48 11/07/21,0
1,0,3,863,0,5,6,Hoops,604,1,1,4,1636270134,08:28:54 11/07/21,0
0,0,1,701,0,7,1,Snow Day,284,1,1,2,1636271171,08:46:11 11/07/21,1
1,0,2,891,1,3,2,Hoops,529,1,1,6,1636650556,18:09:16 11/11/21,1
1,0,1,900,0,2,6,Hoops,366,1,1,5,1636651150,18:19:10 11/11/21,0
0,0,0,890,0,0,3,Hoops,148,1,0,3,1636651500,18:25:00 11/11/21,0
3,0,0,882,0,3,1,Hoops,425,1,1,4,1636652058,18:34:18 11/11/21,1
3,0,2,891,1,5,4,Hoops,740,1,2,3,1636655397,19:29:57 11/11/21,1
0,0,2,899,0,3,1,Hoops,428,1,0,6,1636655786,19:36:26 11/11/21,1
2,0,2,908,0,5,6,Hoops,734,1,3,8,1636656295,19:44:55 11/11/21,0
1,0,2,898,0,3,2,Hoops,539,1,1,7,1636658621,20:23:41 11/11/21,1
1,0,0,907,0,2,1,Hoops,214,1,0,5,1636659058,20:30:58 11/11/21,1
0,0,2,916,0,3,2,Hoops,330,1,0,4,1636659508,20:38:28 11/11/21,1
0,0,0,925,0,0,3,Hoops,84,1,0,1,1636659757,20:42:37 11/11/21,0
2,0,3,917,0,6,9,Hoops,599,1,0,6,1636739322,18:48:42 11/12/21,0
2,0,2,908,0,5,4,Hoops,659,1,3,3,1636739817,18:56:57 11/12/21,1
0,0,2,917,0,2,6,Hoops,461,1,1,5,1636756837,23:40:37 11/12/21,0
0,0,2,747,0,3,2,Dropshot,680,1,1,25,1636768165,02:49:25 11/13/21,1
0,0,0,756,0,1,2,Dropshot,464,1,0,39,1636768660,02:57:40 11/13/21,0
0,0,1,797,0,3,0,Rumble,258,1,0,2,1636769155,03:05:55 11/13/21,1
0,0,1,749,0,1,2,Dropshot,998,1,4,58,1636769671,03:14:31 11/13/21,0
0,0,2,1472,1,2,0,Standard,505,0,2,3,1636770140,03:22:20 11/13/21,1
0,0,2,908,0,2,3,Hoops,431,1,1,3,1636771296,03:41:36 11/13/21,0
0,0,3,899,1,3,1,Hoops,603,1,1,5,1636771726,03:48:46 11/13/21,1
0,0,2,908,0,2,3,Hoops,516,1,1,7,1636772579,04:02:59 11/13/21,0
0,0,1,899,0,1,2,Hoops,278,1,0,2,1636772965,04:09:25 11/13/21,0
1,0,2,890,0,5,1,Hoops,509,1,2,1,1636782403,06:46:43 11/13/21,1
